case,mode,bearing_deg,distance_m_perceived,distance_world,rms_l,rms_r,rms_total,level_db,balance
shipped_spread0,pan,270,1.5,20.625,0.35193164,0,0.35193164,-9.071,-1
shipped_spread0,pan,285,1.5,20.625,0.35173395,0.0117941,0.35193163,-9.071,-0.935113
shipped_spread0,pan,300,1.5,20.625,0.34912664,0.04434489,0.35193164,-9.071,-0.774597
shipped_spread0,pan,315,1.5,20.625,0.33993985,0.09108658,0.35193162,-9.071,-0.57735
shipped_spread0,pan,330,1.5,20.625,0.32076382,0.14479795,0.35193163,-9.071,-0.377965
shipped_spread0,pan,345,1.5,20.625,0.29019359,0.19910692,0.35193165,-9.071,-0.186157
shipped_spread0,rolloff,0,0.25,3.4375,0.24999999,0.24999999,0.35355338,-9.031,0
shipped_spread0,rolloff,0,0.5,6.875,0.24999999,0.24999999,0.35355338,-9.031,0
shipped_spread0,rolloff,0,1,13.75,0.24999999,0.24999999,0.35355338,-9.031,0
shipped_spread0,rolloff,0,1.5,20.625,0.24885324,0.24885324,0.35193163,-9.071,0
shipped_spread0,rolloff,0,2,27.5,0.24746511,0.24746511,0.34996852,-9.119,0
shipped_spread0,rolloff,0,2.5,34.375,0.24141831,0.24141831,0.34141704,-9.334,0
shipped_spread0,rolloff,0,3,41.25,0.23288665,0.23288665,0.32935145,-9.647,0
shipped_spread0,rolloff,0,4,55,0.21619595,0.21619595,0.30574724,-10.293,0
shipped_spread0,rolloff,0,5,68.75,0.19997276,0.19997276,0.28280419,-10.97,0
shipped_spread0,rolloff,0,6,82.5,0.1842263,0.1842263,0.26053533,-11.683,0
shipped_spread0,rolloff,0,8,110,0.15420233,0.15420233,0.21807502,-13.228,0
shipped_spread0,rolloff,0,10,137.5,0.12621097,0.12621097,0.17848927,-14.968,0
shipped_spread0,rolloff,0,12,165,0.10035562,0.10035562,0.14192428,-16.959,0
shipped_spread0,rolloff,0,14,192.5,0.07684508,0.07684508,0.10867535,-19.277,0
shipped_spread0,rolloff,0,16,220,0.05579209,0.05579209,0.07890193,-22.058,0
shipped_spread0,rolloff,0,20,275,0.02187263,0.02187263,0.03093257,-30.192,0
shipped_spread0,rolloff,0,22,302.5,0.00972018,0.00972018,0.01374641,-37.236,0
shipped_spread0,rolloff,0,25,343.75,0,0,0,-120,0
shipped_spread0,rolloff,0,30,412.5,0,0,0,-120,0
null_control,pan,0,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,15,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,30,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,45,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,60,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
null_control,pan,75,1.5,20.625,0.17677669,0.17677669,0.25,-12.041,0
