# EnvCloud opacity over the moon disc, across one FULL drift cycle.
# period=1440s, 240 samples (6.0s apart), disc=11056px.
# alpha recovered as 1 - (white_clear - black_clear) on the isolated shell.
t_s	alpha_max	alpha_mean	transmit_min	transmit_mean
768.0	0.04884	0.01404	0.95116	0.98596
774.0	0.04925	0.01110	0.95075	0.98890
780.0	0.04560	0.00779	0.95440	0.99221
786.0	0.03923	0.00497	0.96077	0.99503
792.0	0.02924	0.00280	0.97076	0.99720
798.0	0.02200	0.00135	0.97800	0.99865
804.0	0.01419	0.00053	0.98581	0.99947
810.0	0.01337	0.00022	0.98663	0.99978
816.0	0.01063	0.00008	0.98937	0.99992
822.0	0.00421	0.00001	0.99579	0.99999
828.0	0.00000	0.00000	1.00000	1.00000
834.0	0.00000	0.00000	1.00000	1.00000
840.0	0.00000	0.00000	1.00000	1.00000
846.0	0.00000	0.00000	1.00000	1.00000
852.0	0.00000	0.00000	1.00000	1.00000
858.0	0.00000	0.00000	1.00000	1.00000
864.0	0.00000	0.00000	1.00000	1.00000
870.0	0.00000	0.00000	1.00000	1.00000
876.0	0.00000	0.00000	1.00000	1.00000
882.0	0.00000	0.00000	1.00000	1.00000
888.0	0.00000	0.00000	1.00000	1.00000
894.0	0.00000	0.00000	1.00000	1.00000
900.0	0.00000	0.00000	1.00000	1.00000
906.0	0.00000	0.00000	1.00000	1.00000
912.0	0.00000	0.00000	1.00000	1.00000
918.0	0.00000	0.00000	1.00000	1.00000
924.0	0.00000	0.00000	1.00000	1.00000
930.0	0.00000	0.00000	1.00000	1.00000
936.0	0.00000	0.00000	1.00000	1.00000
942.0	0.00000	0.00000	1.00000	1.00000
948.0	0.00000	0.00000	1.00000	1.00000
954.0	0.00000	0.00000	1.00000	1.00000
960.0	0.00000	0.00000	1.00000	1.00000
966.0	0.00000	0.00000	1.00000	1.00000
972.0	0.00000	0.00000	1.00000	1.00000
978.0	0.00000	0.00000	1.00000	1.00000
984.0	0.00000	0.00000	1.00000	1.00000
990.0	0.00000	0.00000	1.00000	1.00000
996.0	0.00000	0.00000	1.00000	1.00000
1002.0	0.00000	0.00000	1.00000	1.00000
1008.0	0.00000	0.00000	1.00000	1.00000
1014.0	0.00000	0.00000	1.00000	1.00000
1020.0	0.00000	0.00000	1.00000	1.00000
1026.0	0.00000	0.00000	1.00000	1.00000
1032.0	0.00000	0.00000	1.00000	1.00000
1038.0	0.00000	0.00000	1.00000	1.00000
1044.0	0.00000	0.00000	1.00000	1.00000
1050.0	0.00000	0.00000	1.00000	1.00000
1056.0	0.00000	0.00000	1.00000	1.00000
1062.0	0.00000	0.00000	1.00000	1.00000
1068.0	0.00000	0.00000	1.00000	1.00000
1074.0	0.00000	0.00000	1.00000	1.00000
1080.0	0.00000	0.00000	1.00000	1.00000
1086.0	0.00000	0.00000	1.00000	1.00000
1092.0	0.00000	0.00000	1.00000	1.00000
1098.0	0.00000	0.00000	1.00000	1.00000
1104.0	0.00000	0.00000	1.00000	1.00000
1110.0	0.00000	0.00000	1.00000	1.00000
1116.0	0.00000	0.00000	1.00000	1.00000
1122.0	0.00000	0.00000	1.00000	1.00000
1128.0	0.00000	0.00000	1.00000	1.00000
1134.0	0.00000	0.00000	1.00000	1.00000
1140.0	0.00000	0.00000	1.00000	1.00000
1146.0	0.00000	0.00000	1.00000	1.00000
1152.0	0.00000	0.00000	1.00000	1.00000
1158.0	0.00000	0.00000	1.00000	1.00000
1164.0	0.00000	0.00000	1.00000	1.00000
1170.0	0.00000	0.00000	1.00000	1.00000
1176.0	0.00000	0.00000	1.00000	1.00000
1182.0	0.00000	0.00000	1.00000	1.00000
1188.0	0.00000	0.00000	1.00000	1.00000
1194.0	0.00000	0.00000	1.00000	1.00000
1200.0	0.00000	0.00000	1.00000	1.00000
1206.0	0.00000	0.00000	1.00000	1.00000
1212.0	0.00000	0.00000	1.00000	1.00000
1218.0	0.00000	0.00000	1.00000	1.00000
1224.0	0.00000	0.00000	1.00000	1.00000
1230.0	0.00000	0.00000	1.00000	1.00000
1236.0	0.00000	0.00000	1.00000	1.00000
1242.0	0.00000	0.00000	1.00000	1.00000
1248.0	0.00000	0.00000	1.00000	1.00000
1254.0	0.00000	0.00000	1.00000	1.00000
1260.0	0.00000	0.00000	1.00000	1.00000
1266.0	0.00000	0.00000	1.00000	1.00000
1272.0	0.00000	0.00000	1.00000	1.00000
1278.0	0.00000	0.00000	1.00000	1.00000
1284.0	0.00000	0.00000	1.00000	1.00000
1290.0	0.00213	0.00000	0.99787	1.00000
1296.0	0.00336	0.00004	0.99664	0.99996
1302.0	0.00484	0.00013	0.99516	0.99987
1308.0	0.00705	0.00027	0.99295	0.99973
1314.0	0.00785	0.00049	0.99215	0.99951
1320.0	0.00851	0.00087	0.99149	0.99913
1326.0	0.00919	0.00139	0.99081	0.99861
1332.0	0.01050	0.00211	0.98950	0.99789
1338.0	0.01408	0.00316	0.98592	0.99684
1344.0	0.02486	0.00466	0.97514	0.99534
1350.0	0.02856	0.00660	0.97144	0.99340
1356.0	0.03076	0.00880	0.96924	0.99120
1362.0	0.03095	0.01096	0.96905	0.98904
1368.0	0.03201	0.01284	0.96799	0.98716
1374.0	0.03213	0.01449	0.96787	0.98551
1380.0	0.03211	0.01588	0.96789	0.98412
1386.0	0.03143	0.01702	0.96857	0.98298
1392.0	0.03556	0.01798	0.96444	0.98202
1398.0	0.03573	0.01868	0.96427	0.98132
1404.0	0.03564	0.01903	0.96436	0.98097
1410.0	0.03442	0.01912	0.96558	0.98088
1416.0	0.03317	0.01898	0.96683	0.98102
1422.0	0.03197	0.01872	0.96803	0.98128
1428.0	0.03207	0.01817	0.96793	0.98183
1434.0	0.03355	0.01741	0.96645	0.98259
